统计,,,,,,,,,,,
最大值,7.2,@,29,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,2.72,,,,,,,,,,
数据数量,309,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
128,7.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
129,7.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
130,7.0,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
131,6.9,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
132,6.9,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
133,6.9,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
134,0.0,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
135,0.0,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
136,0.0,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
137,0.0,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
138,0.0,N,0.000,mm,OK,--,0:21:35,2024/10/10,--,
139,0.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
140,6.9,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
141,7.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
142,7.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
143,7.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
144,7.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
145,6.9,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
146,6.9,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
147,0.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
148,0.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
149,0.0,N,0.000,mm,OK,--,0:21:36,2024/10/10,--,
150,0.0,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
151,0.0,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
152,0.0,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
153,7.0,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
154,7.0,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
155,7.0,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
156,7.0,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
157,6.9,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
158,6.9,N,0.000,mm,OK,--,0:21:37,2024/10/10,--,
159,0.1,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
160,0.0,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
161,0.0,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
162,0.0,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
163,0.0,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
164,0.0,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
165,6.7,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
166,6.9,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
167,6.9,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
168,6.9,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
169,6.8,N,0.000,mm,OK,--,0:21:38,2024/10/10,--,
170,6.8,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
171,6.8,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
172,0.0,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
173,0.0,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
174,0.0,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
175,0.0,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
176,0.0,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
177,0.0,N,0.000,mm,OK,--,0:21:39,2024/10/10,--,
