统计,,,,,,,,,,,
最大值,26.4,@,126,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,6.34,,,,,,,,,,
数据数量,181,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
128,26.3,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
129,26.2,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
130,26.2,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
131,26.2,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
132,26.1,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
133,26.1,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
134,26.1,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
135,26.1,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
136,26.1,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
137,26.0,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
138,17.7,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
139,0.0,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
140,0.0,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
141,0.0,N,0.000,mm,OK,--,22:41:14,2024/10/14,--,
142,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
143,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
144,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
145,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
146,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
147,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
148,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
149,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
150,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
151,0.0,N,0.000,mm,OK,--,22:41:15,2024/10/14,--,
152,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
153,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
154,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
155,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
156,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
157,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
158,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
159,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
160,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
161,0.0,N,0.000,mm,OK,--,22:41:16,2024/10/14,--,
162,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
163,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
164,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
165,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
166,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
167,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
168,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
169,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
170,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
171,0.0,N,0.000,mm,OK,--,22:41:17,2024/10/14,--,
172,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
173,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
174,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
175,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
176,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
177,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
178,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
179,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
180,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
181,0.0,N,0.000,mm,OK,--,22:41:18,2024/10/14,--,
